p,gmn
0.1,-4.57239e-15
0.1,-1.55054e-10
0.1,-1.5962e-11
0.1,-8.63296e-16
0.1,-6.87869e-13
0.1,-9.53022e-13
0.1,-2.75728e-09
0.1,-1.67961e-12
0.1,-4.78977e-14
0.1,-1.64715e-11
0.1,-3.83974e-08
0.1,-1.89848e-09
0.1,-4.49324e-11
0.1,-1.54505e-12
0.1,-1.62648e-10
0.1,-6.82623e-09
0.1,-1.81133e-13
0.1,-6.98732e-09
0.1,-5.96146e-13
0.1,-2.51018e-12
0.1,-5.2522e-14
0.1,-4.49324e-11
0.1,0.0845461
0.1,-4.49324e-11
0.1,-7.47138e-16
0.1,-1.82625e-09
0.1,-2.31065e-12
0.1,-3.82389e-14
0.1,0.0692634
0.1,-7.1091e-13
0.1,-1.31539e-08
0.1,0.206384
0.1,-5.1227e-10
0.1,-1.74838e-10
0.1,-1.54335e-13
0.1,-3.61575e-13
0.1,-2.75246e-11
0.1,0.0571885
0.1,0.0527401
0.1,-2.03027e-10
0.1,-2.21895e-13
0.1,-1.394e-11
0.1,-4.49324e-11
0.1,-9.43868e-15
0.1,-1.4469e-10
0.1,-8.48884e-09
0.1,-1.29722e-08
0.1,-3.94335e-08
0.1,-4.49324e-11
0.1,-4.4941e-11
0.1,-5.73815e-15
0.1,-4.49324e-11
0.1,-8.91674e-12
0.1,-1.97117e-13
0.1,-4.49323e-11
0.1,-2.75255e-12
0.1,-4.49324e-11
0.1,-5.1069e-15
0.1,0.255764
0.1,-6.20855e-11
0.1,-4.49323e-11
0.1,-4.49324e-11
0.1,-2.39198e-13
0.1,-4.49324e-11
0.1,-2.10139e-11
0.1,-9.87082e-10
0.1,-4.49324e-11
0.1,-2.85228e-14
0.1,-7.21854e-09
0.1,-2.08299e-11
0.1,-7.54052e-16
0.1,-2.39858e-15
0.1,-4.5003e-11
0.1,-3.67364e-08
0.1,-3.35122e-12
0.1,-4.49323e-11
0.1,-1.47425e-08
0.1,-7.90785e-09
0.1,-1.53354e-09
0.1,-1.01369e-10
0.1,-3.60093e-08
0.1,-3.67574e-15
0.1,-1.94775e-13
0.1,-3.54503e-10
0.1,-3.02544e-14
0.1,-7.78537e-10
0.1,-4.49323e-11
0.1,-3.04359e-13
0.1,-2.22723e-08
0.1,-7.41983e-09
0.1,-1.47763e-13
0.1,-3.21514e-13
0.1,-4.49324e-11
0.1,0.0628431
0.1,-3.28188e-13
0.1,-1.21664e-09
0.1,-2.37013e-10
0.1,-1.48329e-09
0.1,-1.81148e-13
0.1,-4.49324e-11
0.1,-7.91123e-14
0.1,-4.49343e-11
0.1,-1.81453e-10
0.1,-2.31761e-15
0.1,-1.62827e-10
0.1,-1.53037e-13
0.1,-3.82623e-15
0.1,0.0749082
0.1,0.00688589
0.1,-2.82538e-08
0.1,-1.75674e-11
0.1,-1.71893e-14
0.1,-2.70638e-10
0.1,-2.12585e-10
0.1,-4.8621e-08
0.1,-1.7084e-08
0.1,0.015904
0.1,-7.62298e-11
0.1,-7.60337e-14
0.1,-1.20974e-09
0.1,0.0103199
0.1,-1.71986e-08
0.1,-1.14773e-08
0.1,-3.57207e-10
0.1,-3.24017e-12
0.1,-5.20489e-09
0.1,-7.4016e-13
0.1,-4.49325e-11
0.1,-3.3545e-09
0.1,-1.07498e-13
0.1,-4.49323e-11
0.1,-1.22905e-11
0.1,-3.21548e-08
0.1,-1.63793e-14
0.1,-1.2249e-09
0.1,-4.49323e-11
0.1,-7.29412e-14
0.1,-6.3991e-10
0.1,-4.49325e-11
0.1,-3.49098e-08
0.1,-4.58571e-08
0.1,-4.49324e-11
0.1,-2.087e-13
0.1,-7.51515e-15
0.1,-4.49324e-11
0.1,0.0886535
0.1,-2.08455e-14
0.1,-4.49324e-11
0.1,-4.49324e-11
0.1,-1.66441e-10
0.1,-1.07839e-13
0.1,-4.49324e-11
0.1,-4.49324e-11
0.1,-7.65303e-11
0.1,-3.48913e-11
0.1,-4.05764e-10
0.1,-1.26874e-09
0.1,-1.95012e-08
0.1,-1.79293e-13
0.1,-2.72264e-13
0.1,-3.6198e-10
0.1,-4.54181e-11
0.1,-6.05633e-10
0.1,-2.5047e-08
0.1,-5.81046e-14
0.1,-1.79093e-11
0.1,-1.11329e-13
0.1,-3.16581e-13
0.1,-9.03697e-12
0.1,-1.87433e-11
0.1,-2.00464e-13
0.1,-1.46772e-10
0.1,-2.0763e-09
0.1,-2.27969e-13
0.1,-4.00911e-12
0.1,-2.0723e-08
0.1,-4.76165e-10
0.1,-2.84005e-08
0.1,-1.0751e-13
0.1,-2.2458e-09
